username,firstname,lastname,email,password
robot1,Student2,Student2,camylle.bins69@yahoo.com,123456
robot2,Student3,Student3,trystan_corkery7@hotmail.com,123456
robot3,Student4,Student4,nigel.ohara82@hotmail.com,123456
robot4,Student5,Student5,clemmie.jacobson9@yahoo.com,123456
robot5,Student6,Student6,hardy.west@yahoo.com,123456
robot6,Student7,Student7,ike.gleichner@hotmail.com,123456
robot7,Student8,Student8,haylee.murray44@yahoo.com,123456
robot8,Student9,Student9,gladyce.dickens57@gmail.com,123456
robot9,Student10,Student10,wilford91@gmail.com,123456
robot10,Student11,Student11,llewellyn.pfannerstill@yahoo.com,123456
robot11,Student12,Student12,crawford.boyer@yahoo.com,123456
robot12,Student13,Student13,chris_dicki26@hotmail.com,123456
robot13,Student14,Student14,alda_okeefe@hotmail.com,123456
robot14,Student15,Student15,ivah.greenholt48@yahoo.com,123456
robot15,Student16,Student16,destin.hudson@hotmail.com,123456
robot16,Student17,Student17,dorcas.stroman84@hotmail.com,123456
robot17,Student18,Student18,courtney_bednar@yahoo.com,123456
robot18,Student19,Student19,lois49@gmail.com,123456
robot19,Student20,Student20,bertram95@hotmail.com,123456
robot20,Student21,Student21,cathryn82@gmail.com,123456
robot21,Student22,Student22,cecelia.cassin@hotmail.com,123456
robot22,Student23,Student23,rex64@gmail.com,123456
robot23,Student24,Student24,max68@gmail.com,123456
robot24,Student25,Student25,yazmin18@yahoo.com,123456
robot25,Student26,Student26,jenifer.keebler@hotmail.com,123456
robot26,Student27,Student27,candace.nienow60@hotmail.com,123456
robot27,Student28,Student28,marisol53@yahoo.com,123456
robot28,Student29,Student29,shania76@yahoo.com,123456
robot29,Student30,Student30,leila81@gmail.com,123456
robot30,Student31,Student31,frederick_cronin46@gmail.com,123456
robot31,Student32,Student32,antonette95@hotmail.com,123456
robot32,Student33,Student33,javier.lindgren18@hotmail.com,123456
robot33,Student34,Student34,dannie_bahringer@hotmail.com,123456
robot34,Student35,Student35,darrin.douglas@hotmail.com,123456
robot35,Student36,Student36,kiley_ledner42@hotmail.com,123456
robot36,Student37,Student37,sydnie_wolff@gmail.com,123456
robot37,Student38,Student38,triston_schmeler@gmail.com,123456
robot38,Student39,Student39,tiana_little48@gmail.com,123456
robot39,Student40,Student40,nils_johns@gmail.com,123456
robot40,Student41,Student41,vella.little97@hotmail.com,123456
robot41,Student42,Student42,alice_pacocha@hotmail.com,123456
robot42,Student43,Student43,dominic.moen38@gmail.com,123456
robot43,Student44,Student44,laron_schowalter@hotmail.com,123456
robot44,Student45,Student45,toney69@yahoo.com,123456
robot45,Student46,Student46,chanelle_hegmann25@yahoo.com,123456
robot46,Student47,Student47,jaquelin.rodriguez@hotmail.com,123456
robot47,Student48,Student48,mylene_kiehn98@hotmail.com,123456
robot48,Student49,Student49,nicola6@hotmail.com,123456
robot49,Student50,Student50,ezequiel_morar3@gmail.com,123456
robot50,Student51,Student51,douglas.bayer@gmail.com,123456
robot51,Student52,Student52,summer_lowe96@hotmail.com,123456
robot52,Student53,Student53,carter60@gmail.com,123456
robot53,Student54,Student54,georgianna_stoltenberg21@gmail.com,123456
robot54,Student55,Student55,graciela_king@hotmail.com,123456
robot55,Student56,Student56,kadin82@hotmail.com,123456
robot56,Student57,Student57,darlene_braun@hotmail.com,123456
robot57,Student58,Student58,marina12@hotmail.com,123456
robot58,Student59,Student59,beryl.hessel@hotmail.com,123456
robot59,Student60,Student60,domenica.tremblay@hotmail.com,123456
robot60,Student61,Student61,ashtyn.stehr@gmail.com,123456
robot61,Student62,Student62,roy12@hotmail.com,123456
robot62,Student63,Student63,rusty_heathcote@yahoo.com,123456
robot63,Student64,Student64,alyce.hagenes@gmail.com,123456
robot64,Student65,Student65,florida94@yahoo.com,123456
robot65,Student66,Student66,savannah_haag56@yahoo.com,123456
robot66,Student67,Student67,edward3@gmail.com,123456
robot67,Student68,Student68,bianka.kilback@gmail.com,123456
robot68,Student69,Student69,curtis_rohan@hotmail.com,123456
robot69,Student70,Student70,leonora.stiedemann42@hotmail.com,123456
robot70,Student71,Student71,fabiola47@hotmail.com,123456
robot71,Student72,Student72,laurianne_fadel@yahoo.com,123456
robot72,Student73,Student73,unique_cormier@gmail.com,123456
robot73,Student74,Student74,frederik95@gmail.com,123456
robot74,Student75,Student75,benjamin.prohaska42@yahoo.com,123456
robot75,Student76,Student76,giovanny_gleichner83@yahoo.com,123456
robot76,Student77,Student77,jarvis37@yahoo.com,123456
